ORDER_DATE,ORDER_ID,CATEGORY,CUSTOMER,GRAND_TOTAL
2023-01-07,A002,Herramientas,276726,346005
2023-01-19,A003,Herramientas,702811,295300
2023-01-23,A004,Herramientas,637011,183314
2023-03-02,A005,Decoración,671969,500006
2022-12-24,A006,Muebles,982435,887195
2023-01-02,A007,Smartphones,870139,980101
2023-01-18,A008,Herramientas,787231,906981
2022-12-16,A009,Muebles,264099,261628
2022-12-24,A010,Belleza,93000,527907
2022-12-28,A011,Smartphones,715702,805541
2023-01-28,A012,Muebles,92908,834638
2023-01-04,A013,Muebles,920728,555778
2023-01-28,A014,Belleza,504027,574536
2022-12-30,A015,Ropa,96438,871907
2023-01-22,A016,Decoración,677339,341379
2022-12-08,A017,Belleza,541579,163831
2022-12-29,A018,Decoración,784274,959606
2022-12-10,A019,Herramientas,658444,390163
2023-01-06,A020,Decoración,891022,230452
2022-12-26,A021,Ropa,949456,596912
2023-01-17,A022,Muebles,955371,867814
2023-03-01,A023,Ropa,415098,860955
2022-12-22,A024,Ropa,558882,547492
2023-01-23,A025,Belleza,255771,809518
2023-01-13,A026,Herramientas,844799,286452
2023-02-15,A027,Belleza,896750,948200
2022-12-06,A028,Ropa,115180,547000
2023-02-26,A029,Ropa,562587,852017
2023-01-06,A030,Herramientas,196760,121455
2023-02-12,A031,Ropa,410307,251582
2023-01-12,A032,Herramientas,642922,995713
2023-02-16,A033,Decoración,131808,72671
2023-01-22,A034,Decoración,810623,627176
2023-01-17,A035,Belleza,614023,309149
2022-12-28,A036,Muebles,642349,834034
2023-02-16,A037,Herramientas,438723,774709
2023-01-07,A038,Herramientas,612567,375568
2023-02-22,A039,Ropa,529438,298772
2023-01-22,A040,Ropa,690898,183669
2023-02-18,A041,Decoración,262246,292880
2023-02-23,A042,Herramientas,710811,668554
2023-03-02,A043,Herramientas,669437,483247
2023-02-21,A044,Belleza,334760,752800
2023-01-23,A045,Decoración,906249,670374
2022-12-07,A046,Ropa,414753,292049
2023-01-06,A047,Muebles,271425,642718
2023-01-17,A048,Muebles,159555,799057
2023-02-07,A049,Muebles,58937,760986
2023-02-08,A050,Decoración,828515,718544
2022-12-20,A051,Muebles,565752,657332
2022-12-06,A052,Decoración,31379,463187
2023-01-31,A053,Decoración,718600,904715
2023-01-13,A054,Muebles,756108,721598
2023-02-12,A055,Herramientas,875140,706819
2022-12-17,A056,Herramientas,222507,900090
2023-01-20,A057,Belleza,998157,437743
2023-01-12,A058,Belleza,287002,833310
2023-02-05,A059,Ropa,462304,903426
2023-01-08,A060,Herramientas,321970,339343
2023-01-02,A061,Ropa,236542,297060
2022-12-14,A062,Belleza,341168,929387
2023-02-20,A063,Belleza,805405,297371
2023-01-20,A064,Smartphones,580648,169475
2023-01-17,A065,Smartphones,529281,787148
2023-01-03,A066,Muebles,703450,912170
2023-02-17,A067,Smartphones,761764,233659
2022-12-26,A068,Belleza,555992,255595
2022-12-18,A069,Belleza,771309,689313
2023-01-30,A070,Smartphones,134275,918706
2023-01-13,A071,Herramientas,801297,883243
2023-02-18,A072,Smartphones,657215,153612
2022-12-07,A073,Smartphones,824078,986350
2023-01-27,A074,Ropa,385627,268785
2022-12-26,A075,Muebles,358713,639298
2023-01-03,A076,Herramientas,957463,837596
2023-02-10,A077,Ropa,339914,177328
2023-02-21,A078,Ropa,67467,925207
2023-01-02,A079,Smartphones,555239,115911
2023-03-01,A080,Smartphones,549896,402891
2023-01-07,A081,Muebles,594860,358168
2023-01-09,A082,Smartphones,411774,437826
2022-12-14,A083,Decoración,351447,449988
2023-02-10,A084,Belleza,321988,317974
2023-01-22,A085,Smartphones,888504,71139
2023-02-09,A086,Smartphones,991177,891934
2022-12-24,A087,Belleza,266929,886434
2023-02-12,A088,Muebles,521674,963393
2022-12-09,A089,Herramientas,854214,774598
2022-12-30,A090,Ropa,409725,569093
2022-12-06,A091,Smartphones,289291,557330
2022-12-08,A092,Herramientas,152519,369863
2022-12-07,A093,Smartphones,281995,96313
2023-03-02,A094,Herramientas,384126,651777
2023-02-02,A095,Decoración,232373,773858
2023-02-18,A096,Belleza,133555,397751
2022-12-04,A097,Belleza,940257,948800
2022-12-22,A098,Herramientas,817099,467515
2023-01-04,A099,Muebles,995710,998469
2023-03-01,A100,Herramientas,25101,202528
2022-12-27,A101,Smartphones,343833,179287
2023-01-24,A102,Decoración,729824,402662
2023-01-24,A103,Belleza,92875,790390
2023-01-07,A104,Ropa,489247,987593
2022-12-04,A105,Muebles,792565,282770
2023-02-21,A106,Ropa,912642,453817
2023-01-03,A107,Herramientas,882502,776796
2023-01-21,A108,Belleza,824802,513633
2023-02-04,A109,Muebles,557450,536804
2022-12-23,A110,Herramientas,179612,874145
2023-02-09,A111,Smartphones,602583,348601
2022-12-14,A112,Decoración,694626,310445
2022-12-08,A113,Belleza,870129,364801
2022-12-10,A114,Belleza,204130,542876
2023-02-12,A115,Herramientas,660658,106735
2023-02-20,A116,Muebles,914559,887563
2023-01-07,A117,Herramientas,84100,893994
2023-01-04,A118,Herramientas,21734,969813
2023-02-20,A119,Belleza,522030,637966
2023-01-31,A120,Belleza,976377,76336
2023-01-28,A121,Decoración,802364,848416
2022-12-04,A122,Ropa,972166,403940
2022-12-20,A123,Herramientas,706708,67705
2023-01-30,A124,Ropa,891090,178941
2023-02-22,A125,Belleza,319261,258788
2023-01-01,A126,Muebles,716868,731251
2023-02-27,A127,Decoración,956544,655654
2022-12-24,A128,Belleza,344903,864696
2023-02-02,A129,Ropa,167295,393737
2022-12-14,A130,Ropa,27936,735220
2023-01-24,A131,Muebles,568823,936830
2023-02-18,A132,Muebles,759247,973978
2023-01-10,A133,Herramientas,9388,395000
2023-02-07,A134,Muebles,298332,854164
2023-01-14,A135,Muebles,918686,340235
2023-02-28,A136,Muebles,769418,207461
2022-12-04,A137,Muebles,666052,51121
2023-02-21,A138,Ropa,678681,551345
2022-12-07,A139,Herramientas,52755,649470
